IMPCTY,IYEAR,45-64,65-69,70-74,75-79,80-85,85+,White,Black,American_Indian_or_Alaskan_Native,Asian_and_PI,Hispanic,Other,0,9,12,14,16,19,Male,Female,Total_LLCPWT,CNF_MMRY_YES_LLCPWT,Percentage_CNFM,Total_LLCPWT_County,County_Percentage_CNFM
1,2012,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3026.971662,289.3309613,9.6,25562.77737,1.13184478
1,2012,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,91.94091885,0,0.0,25562.77737,0
1,2012,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,100.855744,0,0.0,25562.77737,0
1,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,73.4186847,0,0.0,26752.53013,0
1,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,301.8043618,0,0.0,26752.53013,0
1,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,172.5628486,0,0.0,26752.53013,0
1,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,229.7765681,0,0.0,26752.53013,0
1,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,339.7549729,0,0.0,26752.53013,0
1,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,108.4649846,0,0.0,26752.53013,0
1,2016,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,70.5009409,0,0.0,26752.53013,0
1,2016,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,152.6215816,131.7309634,86.3,26752.53013,0.492405626
1,2016,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,59.08786878,0,0.0,26752.53013,0
1,2016,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,291.0573275,0,0.0,26752.53013,0
1,2016,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,218.3095053,0,0.0,26752.53013,0
1,2016,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,155.4622227,0,0.0,26752.53013,0
1,2016,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,29.19477186,29.19477186,100.0,26752.53013,0.109129012
1,2016,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,40.87460866,0,0.0,26752.53013,0
1,2016,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,186.0297805,0,0.0,26752.53013,0
1,2016,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,130.1606764,0,0.0,26752.53013,0
1,2016,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,322.9527547,251.4149268,77.8,26752.53013,0.939779997
1,2016,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,145.1080551,0,0.0,26752.53013,0
1,2016,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,561.0483729,226.043165,40.3,26752.53013,0.844941259
1,2016,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,211.4757228,0,0.0,26752.53013,0
1,2016,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,192.1664818,0,0.0,26752.53013,0
1,2016,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,389.7157673,0,0.0,26752.53013,0
1,2016,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,60.97403408,0,0.0,26752.53013,0
1,2016,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,778.903398,30.79504028,4.0,26752.53013,0.115110758
1,2016,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,414.3283868,26.99941876,6.5,26752.53013,0.100922861
1,2016,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,258.2576003,0,0.0,26752.53013,0
1,2016,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,185.7700985,0,0.0,26752.53013,0
1,2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,617.7723702,50.43217156,8.2,26752.53013,0.188513652
1,2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,247.5700366,0,0.0,26752.53013,0
1,2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,619.1483558,160.6960998,26.0,26752.53013,0.600676269
1,2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,567.5654645,0,0.0,26752.53013,0
1,2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,407.4435409,0,0.0,26752.53013,0
1,2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,792.2795862,0,0.0,26752.53013,0
1,2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,149.9594071,0,0.0,26752.53013,0
1,2016,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,443.7917601,0,0.0,26752.53013,0
1,2016,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,106.8437439,0,0.0,26752.53013,0
1,2016,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,20.17994138,0,0.0,26752.53013,0
1,2016,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,294.7475744,0,0.0,26752.53013,0
1,2016,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,96.50909842,0,0.0,26752.53013,0
1,2016,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,181.6613311,0,0.0,26752.53013,0
1,2016,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,406.8389378,0,0.0,26752.53013,0
1,2016,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,79.95416731,0,0.0,26752.53013,0
1,2016,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2098.309059,72.67131007,3.5,26752.53013,0.271642756
1,2016,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1147.483719,29.85609895,2.6,26752.53013,0.111601029
1,2016,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2644.153807,0,0.0,26752.53013,0
1,2016,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1642.061437,443.0572842,27.0,26752.53013,1.656132269
1,2016,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3054.647235,239.2707812,7.8,26752.53013,0.894385615
1,2016,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3206.531077,501.8200351,15.6,26752.53013,1.875785328
1,2016,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1679.842626,82.93162571,4.9,26752.53013,0.309995448
1,2016,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,167.4534801,0,0.0,26752.53013,0
1,2017,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,145.2125992,0,0.0,336.352826,0
1,2017,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,81.26844938,0,0.0,336.352826,0
1,2017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,109.8717775,69.90345989,63.6,336.352826,20.78277763
1,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,25.22373802,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,45.88209656,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,111.7203129,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,186.3219802,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,166.0955986,41.75233847,25.1,23240.42754,0.179653917
1,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,304.5007904,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,83.46825659,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,378.0562379,48.62503011,12.9,23240.42754,0.209226057
1,2018,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30.28609545,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,29.58730504,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,61.37587139,61.37587139,100.0,23240.42754,0.264090974
1,2018,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,15.6212247,15.6212247,100.0,23240.42754,0.067215737
1,2018,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,47.22304934,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,33.89062083,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,89.60570369,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,95.48409243,41.45392337,43.4,23240.42754,0.178369883
1,2018,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,101.3004471,0,0.0,23240.42754,0
1,2018,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,69.67211239,0,0.0,23240.42754,0
1,2018,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,76.65584673,0,0.0,23240.42754,0
1,2018,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,375.1795895,78.49416014,20.9,23240.42754,0.337748348
1,2018,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,345.4839455,0,0.0,23240.42754,0
1,2018,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,167.0093539,0,0.0,23240.42754,0
1,2018,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,433.9147167,196.8138631,45.4,23240.42754,0.846859907
1,2018,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,91.31999005,56.39450624,61.8,23240.42754,0.242656922
1,2018,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,71.2002191,0,0.0,23240.42754,0
1,2018,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,69.27970112,0,0.0,23240.42754,0
1,2018,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,30.64750196,0,0.0,23240.42754,0
1,2018,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,24.15322116,0,0.0,23240.42754,0
1,2018,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,40.44359819,40.44359819,100.0,23240.42754,0.174022608
1,2018,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,127.0053212,0,0.0,23240.42754,0
1,2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,117.5126188,11.77654968,10.0,23240.42754,0.050672689
1,2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,344.1190751,33.38655764,9.7,23240.42754,0.143657244
1,2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,271.5189267,0,0.0,23240.42754,0
1,2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,230.8288235,0,0.0,23240.42754,0
1,2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1135.728983,29.82204666,2.6,23240.42754,0.128319699
1,2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,660.0424098,182.6513558,27.7,23240.42754,0.785920807
1,2018,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,98.31557385,98.31557385,100.0,23240.42754,0.423036855
1,2018,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,48.02090175,0,0.0,23240.42754,0
1,2018,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,178.1227761,0,0.0,23240.42754,0
1,2018,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,32.93476767,0,0.0,23240.42754,0
